Id,Weekly_Sales
1_1_2012-11-02,27991.309371633084
1_1_2012-11-09,28089.664919353127
1_1_2012-11-16,20578.338770715374
1_1_2012-11-23,20159.534438096747
1_1_2012-11-30,25154.400562718227
1_1_2012-12-07,33333.498417072835
1_1_2012-12-14,36357.36256638293
1_1_2012-12-21,42390.84010926273
1_1_2012-12-28,23020.762063808324
1_1_2013-01-04,18315.652257025584
1_1_2013-01-11,15811.066121874488
1_1_2013-01-18,17545.51996899645
1_1_2013-01-25,16655.78395097682
1_1_2013-02-01,29116.261357570216
1_1_2013-02-08,26348.924832942044
1_1_2013-02-15,39229.80674093591
1_1_2013-02-22,27054.934134244053
1_1_2013-03-01,24255.973149132948
1_1_2013-03-08,25024.103846250582
1_1_2013-03-15,24896.584803639722
1_1_2013-03-22,24263.332275919758
1_1_2013-03-29,24137.15830834369
1_1_2013-04-05,29034.386261597392
1_1_2013-04-12,27481.03037103982
1_1_2013-04-19,23859.895578203534
1_1_2013-04-26,25812.50539923583
1_1_2013-05-03,19364.746042169572
1_1_2013-05-10,16884.827064595105
1_1_2013-05-17,16641.181407604134
1_1_2013-05-24,17957.70653085601
1_1_2013-05-31,17423.06872877452
1_1_2013-06-07,17768.880584865718
1_1_2013-06-14,16481.551051621784
1_1_2013-06-21,15914.059120100083
1_1_2013-06-28,15455.532199458
1_1_2013-07-05,20511.14026165557
1_1_2013-07-12,19501.703994148233
1_1_2013-07-19,18541.717227769914
1_1_2013-07-26,17964.281017696467
1_2_2012-11-02,49957.73153639901
1_2_2012-11-09,50257.68809569638
1_2_2012-11-16,46086.5934455299
1_2_2012-11-23,42117.13558775758
1_2_2012-11-30,48510.214577612016
1_2_2012-12-07,51730.25394887144
1_2_2012-12-14,49868.36942029719
1_2_2012-12-21,60157.75252922322
1_2_2012-12-28,45156.08881329168
1_2_2013-01-04,44868.53240912046
1_2_2013-01-11,43112.41867073862
1_2_2013-01-18,41575.514488680936
1_2_2013-01-25,42054.589447637474
1_2_2013-02-01,53167.79982949095
1_2_2013-02-08,53638.282701135955
1_2_2013-02-15,51825.499275804475
1_2_2013-02-22,51875.66207886853
1_2_2013-03-01,49667.47472980231
1_2_2013-03-08,50040.15546419919
1_2_2013-03-15,48447.674332669056
1_2_2013-03-22,49105.29679674123
1_2_2013-03-29,46841.81840951929
1_2_2013-04-05,48970.942995615864
1_2_2013-04-12,45728.55896089429
1_2_2013-04-19,46696.700619347765
1_2_2013-04-26,45251.62304187421
1_2_2013-05-03,52299.08145639727
1_2_2013-05-10,49344.44292493517
1_2_2013-05-17,52430.041094989414
1_2_2013-05-24,53258.47748697775
1_2_2013-05-31,52824.076363351625
1_2_2013-06-07,53389.16302576262
1_2_2013-06-14,54948.14722354952
1_2_2013-06-21,54907.67068894045
1_2_2013-06-28,53777.60209693147
1_2_2013-07-05,56199.84605015837
1_2_2013-07-12,53670.737506010286
1_2_2013-07-19,52458.518047685226
1_2_2013-07-26,52702.26835305434
1_3_2012-11-02,11394.140751910214
1_3_2012-11-09,10010.761216983537
1_3_2012-11-16,8768.79336103916
1_3_2012-11-23,9337.038646797331
1_3_2012-11-30,11217.719999733798
1_3_2012-12-07,11974.267578439303
1_3_2012-12-14,12397.038644572602
1_3_2012-12-21,13639.118528588902
1_3_2012-12-28,10765.75556723566
1_3_2013-01-04,13842.377371096696
1_3_2013-01-11,11624.852114845391
1_3_2013-01-18,9690.734748291301
1_3_2013-01-25,9591.014978871277
1_3_2013-02-01,11794.320654713607
1_3_2013-02-08,11457.913015818283
1_3_2013-02-15,13091.019068118267
1_3_2013-02-22,9398.471148324808
1_3_2013-03-01,11631.30124592245
1_3_2013-03-08,10980.176488496743
1_3_2013-03-15,10288.955717513008
1_3_2013-03-22,10818.513653179914
1_3_2013-03-29,10375.828280332415
1_3_2013-04-05,10028.531226061517
1_3_2013-04-12,9044.972080601949
1_3_2013-04-19,7993.443787226537
1_3_2013-04-26,8800.943377162106
1_3_2013-05-03,7190.734278508295
1_3_2013-05-10,5585.726133077941
1_3_2013-05-17,4752.41409148437
1_3_2013-05-24,7376.028075328406
1_3_2013-05-31,9843.286220731661
1_3_2013-06-07,7479.18189983739
1_3_2013-06-14,7455.555623243362
1_3_2013-06-21,6855.467655384535
1_3_2013-06-28,7128.252586326833
1_3_2013-07-05,10868.854576658432
1_3_2013-07-12,13383.198604006899
1_3_2013-07-19,11072.616832004438
1_3_2013-07-26,13573.709458947907
1_4_2012-11-02,40527.90550991642
